family,operator_id,weight_shape,incumbent,selected,selection_reason,margin_vs_incumbent_pct,incumbent_mean_ms,selected_mean_ms
fused_quant_qconv,169,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.943503447984099,0.22062408333333333,0.20751128333333335
fused_quant_qconv,177,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.34256499999999995,0.34256499999999995
fused_quant_qconv,184,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.0171457517863045,0.21905815,0.20806768333333334
fused_quant_qconv,192,32x128x3,combined_hybrid,combined_fixed,fastest_bitwise,2.4060907850252184,0.3516831833333333,0.34322136666666664
fused_quant_qconv,199,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.974304593089252,0.22451483333333336,0.21110163333333334
fused_quant_qconv,207,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3422205,0.3422205
fused_quant_qconv,214,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.164850224670035,0.21902861666666668,0.20771611666666667
fused_quant_qconv,225,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3952048666666667,0.3952048666666667
fused_quant_qconv,232,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.186869351628788,0.21918745,0.20781848333333333
fused_quant_qconv,240,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.22747427867544848,0.3961693333333333,0.3961693333333333
fused_quant_qconv,247,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.264228479049466,0.21901468333333335,0.20748525
fused_quant_qconv,255,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.39506421666666663,0.39506421666666663
fused_quant_qconv,262,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.916476070196704,0.2190929,0.20832125
fused_quant_qconv,270,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.10005884136133432,0.39728290000000005,0.39728290000000005
fused_quant_qconv,277,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.352061221862341,0.21916571666666668,0.20743583333333332
fused_quant_qconv,285,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.1074952383804371,0.39570744999999996,0.39570744999999996
fused_quant_qconv,292,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.64407907656724,0.2199792,0.2075634
fused_quant_qconv,300,32x128x3,combined_hybrid,combined_fixed,fastest_bitwise,1.4928532886105135,0.40150518333333335,0.3955113
fused_quant_qconv,307,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.9423975741668675,0.2189983,0.20817453333333333
fused_quant_qconv,315,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.7732337958528481,0.39908584999999996,0.39908584999999996
fused_quant_qconv,322,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.650785783811615,0.21908591666666669,0.2088967
fused_quant_qconv,330,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.006579556874225063,0.3954167,0.3954167
fused_quant_qconv,337,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.258790303010966,0.21943925,0.2078994
fused_quant_qconv,345,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3949478166666667,0.3949478166666667
fused_quant_qconv,352,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,3.003234294215693,0.22031081666666666,0.21369436666666666
fused_quant_qconv,360,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.062280637707251334,0.3958159,0.3958159
fused_quant_qconv,367,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,7.401843601744224,0.22469965,0.20806773333333334
fused_quant_qconv,375,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.006393682990570443,0.39492105,0.39492105
fused_quant_qconv,382,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.446671947418684,0.21985505,0.20788026666666667
fused_quant_qconv,390,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.39561546666666664,0.39561546666666664
fused_quant_qconv,397,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.669638601744383,0.21978384999999998,0.2073229
fused_quant_qconv,405,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.39608768333333333,0.39608768333333333
fused_quant_qconv,412,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.458863998721459,0.2189991666666667,0.20704430000000001
fused_quant_qconv,420,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.39482471666666663,0.39482471666666663
fused_quant_qconv,427,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.278316289670236,0.21858075000000002,0.20704336666666665
fused_quant_qconv,435,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.016154593974720327,0.39771968333333335,0.39771968333333335
fused_quant_qconv,442,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.172064357191637,0.21882558333333335,0.20750778333333333
fused_quant_qconv,450,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.39479248333333333,0.39479248333333333
fused_quant_qconv,457,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.150806418699341,0.21888546666666667,0.2076111
fused_quant_qconv,465,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.10931607348329067,0.39547401666666665,0.39547401666666665
fused_quant_qconv,472,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,3.093693837409467,0.21877515,0.21200691666666668
fused_quant_qconv,480,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.2966329052543131,0.3962248666666667,0.3962248666666667
fused_quant_qconv,487,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,6.635695329855509,0.22275435000000002,0.20797305000000002
fused_quant_qconv,495,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.39480303333333333,0.39480303333333333
fused_quant_qconv,502,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.961629566814647,0.21871006666666667,0.20785848333333332
fused_quant_qconv,510,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.490081972887955,0.3974505166666667,0.3974505166666667
fused_quant_qconv,517,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.052063062333014,0.21903725,0.20797134999999997
fused_quant_qconv,525,32x128x3,combined_hybrid,combined_hybrid,incumbent_within_margin,0.13098810263230592,0.39638460000000003,0.39638460000000003
fused_quant_qconv,532,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.282876284160108,0.21891578333333334,0.20735073333333334
fused_quant_qconv,540,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3972248,0.3972248
